exact_date,CO2_concentration,t
1958-03-17,315.7,0.20833333333333334
1958-04-17,317.45,0.2916666666666667
1958-05-17,317.51,0.375
1958-07-17,315.86,0.5416666666666666
1958-08-17,314.93,0.625
1958-09-17,313.21,0.7083333333333334
1958-11-17,313.33,0.875
1958-12-17,314.67,0.9583333333333334
1959-01-17,315.58,1.0416666666666667
1959-02-17,316.48,1.125
1959-03-17,316.65,1.2083333333333333
1959-04-17,317.72,1.2916666666666667
1959-05-17,318.29,1.375
1959-06-17,318.15,1.4583333333333333
1959-07-17,316.54,1.5416666666666667
1959-08-17,314.8,1.625
1959-09-17,313.84,1.7083333333333333
1959-10-17,313.33,1.7916666666666667
1959-11-17,314.81,1.875
1959-12-17,315.58,1.9583333333333333
1960-01-17,316.43,2.0416666666666665
1960-02-17,316.98,2.125
1960-03-17,317.58,2.2083333333333335
1960-04-17,319.03,2.2916666666666665
1960-05-17,320.04,2.375
1960-06-17,319.59,2.4583333333333335
1960-07-17,318.18,2.5416666666666665
1960-08-17,315.9,2.625
1960-09-17,314.17,2.7083333333333335
1960-10-17,313.83,2.7916666666666665
1960-11-17,315.0,2.875
1960-12-17,316.19,2.9583333333333335
1961-01-17,316.89,3.0416666666666665
1961-02-17,317.7,3.125
1961-03-17,318.54,3.2083333333333335
1961-04-17,319.48,3.2916666666666665
1961-05-17,320.58,3.375
1961-06-17,319.77,3.4583333333333335
1961-07-17,318.57,3.5416666666666665
1961-08-17,316.79,3.625
1961-09-17,314.99,3.7083333333333335
1961-10-17,315.31,3.7916666666666665
1961-11-17,316.1,3.875
1961-12-17,317.01,3.9583333333333335
1962-01-17,317.94,4.041666666666667
1962-02-17,318.55,4.125
1962-03-17,319.68,4.208333333333333
1962-04-17,320.57,4.291666666666667
1962-05-17,321.02,4.375
1962-06-17,320.62,4.458333333333333
1962-07-17,319.61,4.541666666666667
1962-08-17,317.4,4.625
1962-09-17,316.25,4.708333333333333
1962-10-17,315.42,4.791666666666667
1962-11-17,316.69,4.875
1962-12-17,317.7,4.958333333333333
1963-01-17,318.74,5.041666666666667
1963-02-17,319.07,5.125
1963-03-17,319.86,5.208333333333333
1963-04-17,321.38,5.291666666666667
1963-05-17,322.25,5.375
1963-06-17,321.48,5.458333333333333
1963-07-17,319.74,5.541666666666667
1963-08-17,317.77,5.625
1963-09-17,316.21,5.708333333333333
1963-10-17,315.99,5.791666666666667
1963-11-17,317.07,5.875
1963-12-17,318.35,5.958333333333333
1964-01-17,319.57,6.041666666666667
1964-05-17,322.25,6.375
1964-06-17,321.89,6.458333333333333
1964-07-17,320.44,6.541666666666667
1964-08-17,318.69,6.625
1964-09-17,316.7,6.708333333333333
1964-10-17,316.87,6.791666666666667
1964-11-17,317.68,6.875
1964-12-17,318.71,6.958333333333333
1965-01-17,319.44,7.041666666666667
1965-02-17,320.44,7.125
1965-03-17,320.89,7.208333333333333
1965-04-17,322.14,7.291666666666667
1965-05-17,322.17,7.375
1965-06-17,321.87,7.458333333333333
1965-07-17,321.21,7.541666666666667
1965-08-17,318.87,7.625
1965-09-17,317.82,7.708333333333333
1965-10-17,317.3,7.791666666666667
1965-11-17,318.87,7.875
1965-12-17,319.42,7.958333333333333
1966-01-17,320.62,8.041666666666666
1966-02-17,321.6,8.125
1966-03-17,322.39,8.208333333333334
1966-04-17,323.7,8.291666666666666
1966-05-17,324.08,8.375
1966-06-17,323.75,8.458333333333334
1966-07-17,322.38,8.541666666666666
1966-08-17,320.36,8.625
1966-09-17,318.64,8.708333333333334
1966-10-17,318.1,8.791666666666666
1966-11-17,319.78,8.875
1966-12-17,321.03,8.958333333333334
1967-01-17,322.33,9.041666666666666
1967-02-17,322.5,9.125
1967-03-17,323.04,9.208333333333334
1967-04-17,324.42,9.291666666666666
1967-05-17,325.0,9.375
1967-06-17,324.09,9.458333333333334
1967-07-17,322.54,9.541666666666666
1967-08-17,320.92,9.625
1967-09-17,319.25,9.708333333333334
1967-10-17,319.39,9.791666666666666
1967-11-17,320.73,9.875
1967-12-17,321.96,9.958333333333334
1968-01-17,322.57,10.041666666666666
1968-02-17,323.15,10.125
1968-03-17,323.89,10.208333333333334
1968-04-17,325.02,10.291666666666666
1968-05-17,325.57,10.375
1968-06-17,325.36,10.458333333333334
1968-07-17,324.14,10.541666666666666
1968-08-17,322.11,10.625
1968-09-17,320.33,10.708333333333334
1968-10-17,320.25,10.791666666666666
1968-11-17,321.32,10.875
1968-12-17,322.89,10.958333333333334
1969-01-17,324.0,11.041666666666666
1969-02-17,324.42,11.125
1969-03-17,325.63,11.208333333333334
1969-04-17,326.66,11.291666666666666
1969-05-17,327.38,11.375
1969-06-17,326.71,11.458333333333334
1969-07-17,325.88,11.541666666666666
1969-08-17,323.66,11.625
1969-09-17,322.38,11.708333333333334
1969-10-17,321.78,11.791666666666666
1969-11-17,322.85,11.875
1969-12-17,324.12,11.958333333333334
1970-01-17,325.06,12.041666666666666
1970-02-17,325.98,12.125
1970-03-17,326.93,12.208333333333334
1970-04-17,328.13,12.291666666666666
1970-05-17,328.08,12.375
1970-06-17,327.67,12.458333333333334
1970-07-17,326.34,12.541666666666666
1970-08-17,324.69,12.625
1970-09-17,323.1,12.708333333333334
1970-10-17,323.06,12.791666666666666
1970-11-17,324.01,12.875
1970-12-17,325.13,12.958333333333334
1971-01-17,326.17,13.041666666666666
1971-02-17,326.68,13.125
1971-03-17,327.18,13.208333333333334
1971-04-17,327.79,13.291666666666666
1971-05-17,328.93,13.375
1971-06-17,328.57,13.458333333333334
1971-07-17,327.36,13.541666666666666
1971-08-17,325.43,13.625
1971-09-17,323.36,13.708333333333334
1971-10-17,323.56,13.791666666666666
1971-11-17,324.8,13.875
1971-12-17,326.01,13.958333333333334
1972-01-17,326.77,14.041666666666666
1972-02-17,327.63,14.125
1972-03-17,327.75,14.208333333333334
1972-04-17,329.72,14.291666666666666
1972-05-17,330.07,14.375
1972-06-17,329.09,14.458333333333334
1972-07-17,328.04,14.541666666666666
1972-08-17,326.32,14.625
1972-09-17,324.84,14.708333333333334
1972-10-17,325.2,14.791666666666666
1972-11-17,326.5,14.875
1972-12-17,327.55,14.958333333333334
1973-01-17,328.55,15.041666666666666
1973-02-17,329.56,15.125
1973-03-17,330.3,15.208333333333334
1973-04-17,331.5,15.291666666666666
1973-05-17,332.48,15.375
1973-06-17,332.07,15.458333333333334
1973-07-17,330.87,15.541666666666666
1973-08-17,329.31,15.625
1973-09-17,327.51,15.708333333333334
1973-10-17,327.18,15.791666666666666
1973-11-17,328.16,15.875
1973-12-17,328.64,15.958333333333334
1974-01-17,329.35,16.041666666666668
1974-02-17,330.71,16.125
1974-03-17,331.48,16.208333333333332
1974-04-17,332.65,16.291666666666668
1974-05-17,333.09,16.375
1974-06-17,332.25,16.458333333333332
1974-07-17,331.18,16.541666666666668
1974-08-17,329.39,16.625
1974-09-17,327.43,16.708333333333332
1974-10-17,327.37,16.791666666666668
1974-11-17,328.46,16.875
1974-12-17,329.57,16.958333333333332
1975-01-17,330.4,17.041666666666668
1975-02-17,331.4,17.125
1975-03-17,332.04,17.208333333333332
1975-04-17,333.31,17.291666666666668
1975-05-17,333.97,17.375
1975-06-17,333.6,17.458333333333332
1975-07-17,331.9,17.541666666666668
1975-08-17,330.06,17.625
1975-09-17,328.56,17.708333333333332
1975-10-17,328.34,17.791666666666668
1975-11-17,329.49,17.875
1975-12-17,330.76,17.958333333333332
1976-01-17,331.75,18.041666666666668
1976-02-17,332.56,18.125
1976-03-17,333.5,18.208333333333332
1976-04-17,334.58,18.291666666666668
1976-05-17,334.88,18.375
1976-06-17,334.33,18.458333333333332
1976-07-17,333.05,18.541666666666668
1976-08-17,330.94,18.625
1976-09-17,329.3,18.708333333333332
1976-10-17,328.94,18.791666666666668
1976-11-17,330.31,18.875
1976-12-17,331.68,18.958333333333332
1977-01-17,332.93,19.041666666666668
1977-02-17,333.42,19.125
1977-03-17,334.7,19.208333333333332
1977-04-17,336.07,19.291666666666668
1977-05-17,336.75,19.375
1977-06-17,336.27,19.458333333333332
1977-07-17,334.92,19.541666666666668
1977-08-17,332.75,19.625
1977-09-17,331.59,19.708333333333332
1977-10-17,331.16,19.791666666666668
1977-11-17,332.4,19.875
1977-12-17,333.85,19.958333333333332
1978-01-17,334.97,20.041666666666668
1978-02-17,335.39,20.125
1978-03-17,336.64,20.208333333333332
1978-04-17,337.76,20.291666666666668
1978-05-17,338.01,20.375
